experimentId,messageId,currentTime
2,0,1760805488678.2913
2,1,1760805488678.3062
2,2,1760805488678.308
2,3,1760805488678.3096
2,4,1760805488678.3105
2,5,1760805488678.312
2,6,1760805488678.313
2,7,1760805488678.3137
2,8,1760805488678.315
2,9,1760805488678.3157
2,10,1760805488678.3171
2,11,1760805488678.3179
2,12,1760805488678.3188
2,13,1760805488678.3196
2,14,1760805488678.3206
2,15,1760805488678.3218
2,16,1760805488678.3228
2,17,1760805488678.3237
2,18,1760805488678.3245
2,19,1760805488678.3254
2,20,1760805488678.3264
2,21,1760805488678.3274
2,22,1760805488678.3284
2,23,1760805488678.329
2,24,1760805488678.33
2,25,1760805488678.3308
2,26,1760805488678.3318
2,27,1760805488678.333
2,28,1760805488678.3337
2,29,1760805488678.3347
2,30,1760805488678.3357
2,31,1760805488678.3364
2,32,1760805488678.5022
2,33,1760805488678.5042
2,34,1760805488678.5051
2,35,1760805488678.5066
2,36,1760805488678.5076
2,37,1760805488678.5083
2,38,1760805488678.5095
2,39,1760805488678.5105
2,40,1760805488678.5117
2,41,1760805488678.5127
2,42,1760805488678.514
2,43,1760805488678.515
2,44,1760805488678.5159
2,45,1760805488678.517
2,46,1760805488678.518
2,47,1760805488678.5188
2,48,1760805488678.52
2,49,1760805488678.521
2,50,1760805488678.5222
2,51,1760805488678.523
2,52,1760805488678.524
2,53,1760805488678.525
2,54,1760805488678.526
2,55,1760805488678.5266
2,56,1760805488678.5278
2,57,1760805488678.5286
2,58,1760805488678.5295
2,59,1760805488678.5303
2,60,1760805488678.553
2,61,1760805488678.5542
2,62,1760805488678.555
2,63,1760805488678.556
2,64,1760805488678.5566
2,65,1760805488678.5576
2,66,1760805488678.5588
2,67,1760805488678.5596
2,68,1760805488678.5605
2,69,1760805488678.5618
2,70,1760805488678.5625
2,71,1760805488678.5635
2,72,1760805488678.5645
2,73,1760805488678.5654
2,74,1760805488678.5662
2,75,1760805488678.567
2,76,1760805488678.5679
2,77,1760805488678.5686
2,78,1760805488678.5696
2,79,1760805488678.5706
2,80,1760805488678.5715
2,81,1760805488678.5723
2,82,1760805488678.5732
2,83,1760805488678.574
2,84,1760805488678.575
2,85,1760805488678.576
2,86,1760805488678.5767
2,87,1760805488678.5774
2,88,1760805488678.5781
2,89,1760805488678.579
2,90,1760805488678.5803
2,91,1760805488678.581
2,92,1760805488678.582
2,93,1760805488678.583
2,94,1760805488678.5837
2,95,1760805488678.5845
2,96,1760805488678.5857
2,97,1760805488678.5867
2,98,1760805488678.5874
2,99,1760805488678.5884
